NCTC8036	R. erythropolis
NCTC8038	B. abortus
NCTC8049	A. hydrophila
NCTC8058	P. aeruginosa
NCTC8066	P. pentosaceus
NCTC8067	P. taetrolens
NCTC8068	P. mucidolens
NCTC8081	C. perfringens
NCTC8100	S. agalactiae
NCTC8102	A. sp.
NCTC8105	H. alvei
NCTC8113	P. rustigianii
NCTC8129	E. durans
NCTC8130	E. durans
NCTC8131	E. faecalis
NCTC8132	E. faecalis
NCTC8133	S. gallolyticus
NCTC8134	H. aegyptius
NCTC8135	H. influenzae
NCTC8140	S. bovis
NCTC8143	H. influenzae
NCTC8151	M. phlei
NCTC8155	C. sakazakii
NCTC8156	M. phlei
NCTC8159	M. smegmatis
NCTC8163	E. rhusiopathiae
NCTC8164	E. coli
NCTC8165	C. freundii
NCTC8167	K. oxytoca
NCTC8172	K. pneumoniae
NCTC8175	E. faecalis
NCTC8176	E. faecalis
NCTC8178	S. aureus
NCTC8179	E. coli
NCTC8180	S. agalactiae
NCTC8181	S. agalactiae
NCTC8182	S. agalactiae
NCTC8183	S. agalactiae
NCTC8184	S. agalactiae
NCTC8185	S. agalactiae
NCTC8187	S. agalactiae
NCTC8188	S. agalactiae
NCTC8193	S. pyogenes
NCTC8195	S. pyogenes
NCTC8196	E. coli
NCTC8198	S. pyogenes
NCTC8199	S. pyogenes
NCTC8203	P. aeruginosa
NCTC8213	E. faecalis
NCTC8224	S. pyogenes
NCTC8225	S. pyogenes
NCTC8227	S. pyogenes
NCTC8229	S. pyogenes
NCTC8230	S. pyogenes
NCTC8231	S. pyogenes
NCTC8232	S. pyogenes
NCTC8233	B. licheniformis
NCTC8239	C. perfringens
NCTC8246	C. perfringens
NCTC8247	C. perfringens
NCTC8249	N. meningitidis
NCTC8251	A. viridans
NCTC8254	N. gonorrhoeae
NCTC8263	N. flavescens
NCTC8267	S. enterica
NCTC8270	S. enterica
NCTC8273	S. enterica
NCTC8282	P. dagmatis
NCTC8284	P. pneumotropica
NCTC8294	S. hyicus
NCTC8300	S. pyogenes
NCTC8302	S. pyogenes
NCTC8303	S. pyogenes
NCTC8304	S. pyogenes
NCTC8305	S. pyogenes
NCTC8308	S. pyogenes
NCTC8314	S. pyogenes
NCTC8316	S. pyogenes
NCTC8317	S. aureus
NCTC8318	S. pyogenes
NCTC8320	S. pyogenes
NCTC8322	S. pyogenes
NCTC8324	S. pyogenes
NCTC8325	S. aureus
NCTC8326	S. pyogenes
NCTC8330	S. pyogenes
NCTC8332	S. pyogenes
NCTC8333	E. coli
NCTC8334	B. melitensis
NCTC8340	K. rhizophila
NCTC8344	B. bronchiseptica
NCTC8350	C. haemolyticum
NCTC8359	C. perfringens
NCTC8370	S. pyogenes
NCTC8380	C. fallax
NCTC8385	S. enterica
NCTC8387	S. enterica
NCTC8389	S. enterica
NCTC8392	S. enterica
NCTC8399	S. aureus
NCTC8443	V. metschnikovii
NCTC8449	C. perfringens
NCTC8450	E. coli
NCTC8452	A. haemolyticum
NCTC8455	H. influenzae
NCTC8468	H. influenzae
NCTC8479	H. parahaemolyticus
NCTC8480	Y. pseudotuberculosis
NCTC8489	P. multocida
NCTC8495	S. enterica
NCTC8496	S. enterica
NCTC8497	S. enterica
NCTC8502	H. aegyptius
NCTC8503	C. perfringens
NCTC8506	P. aeruginosa
NCTC8507	S. aureus
NCTC8520	S. flexneri
NCTC8524	S. flexneri
NCTC8529	A. equuli
NCTC8530	S. aureus
NCTC8531	S. aureus
NCTC8532	S. aureus
NCTC8535	H. alvei
NCTC8540	H. haemoglobinophilus
NCTC8543	S. dysgalactiae
NCTC8545	B. diminuta
NCTC8546	S. dysgalactiae
NCTC8550	C. botulinum
NCTC8554	N. meningitidis
NCTC8563	V. metschnikovii
NCTC8576	S. boydii
NCTC8580	Y. pseudotuberculosis
NCTC8582	A. denitrificans
NCTC8603	E. coli
NCTC8618	S. salivarius
NCTC8620	E. coli
NCTC8621	E. coli
NCTC8623	E. coli
NCTC8639	C. ulcerans
NCTC8661	J. lividum
NCTC8666	C. ulcerans
NCTC8678	C. perfringens
NCTC8679	C. perfringens
NCTC8683	C. violaceum
NCTC8684	C. violaceum
NCTC8705	S. enterica
NCTC8718	S. enterica
NCTC8720	B. licheniformis
NCTC8721	B. licheniformis
NCTC8723	S. aureus
NCTC8724	S. aureus
NCTC8725	S. aureus
NCTC8726	S. aureus
NCTC8727	E. faecalis
NCTC8729	E. faecalis
NCTC8732	E. faecalis
NCTC8734	E. faecalis
NCTC8736	E. gallinarum
NCTC8738	S. lutetiensis
NCTC8745	E. faecalis
NCTC8746	S. lutetiensis
NCTC8762	B. bronchiseptica
NCTC8765	S. aureus
NCTC8766	S. aureus
NCTC8781	E. coli
NCTC8783	E. coli
NCTC8785	S. enterica
NCTC8796	S. lutetiensis
NCTC8797	C. perfringens
NCTC8798	C. perfringens
NCTC8799	C. perfringens
NCTC8839	K. edwardsii
